experiment,id,split,utterance,gold,predicted,correct,confidence,jev_confidence,top1,p1,top2,p2,top3,p3,n_nonzero_options,latency_ms,cost_usd,described_predicted,described_correct,described_confidence
E1-inscope,train-0,train,what expression would i use to say i love you if i were an italian,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,312,0.000104832,,,
E1-inscope,train-1,train,"can you tell me how to say 'i do not speak much spanish', in spanish",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,401,0.00010491600000000001,,,
E1-inscope,train-2,train,"what is the equivalent of, 'life is good' in french",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,350,0.00010474800000000001,,,
E1-inscope,train-3,train,"tell me how to say, 'it is a beautiful morning' in italian",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,304,0.000104832,,,
E1-inscope,train-4,train,"if i were mongolian, how would i say that i am a tourist",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,663,0.000104832,,,
E1-inscope,train-5,train,how do i say 'hotel' in finnish,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,310,0.000104622,,,
E1-inscope,train-6,train,"i need you to translate the sentence, 'we will be there soon' into portuguese",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,321,0.000105,,,
E1-inscope,train-7,train,please tell me how to ask for a taxi in french,translate,translate,1,0.98,0.97,translate,0.98,uber,0.02,,,2,662,0.000104664,,,
E1-inscope,train-8,train,"can you tell me how i would say, 'more bread please' in french",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,169,0.00010487400000000001,,,
E1-inscope,train-9,train,what is the correct way to say 'i am a visitor' in french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,119,0.000104832,,,
E1-inscope,train-10,train,"how would i say, 'i don't know the answer' in spanish",translate,translate,1,1.0,1.0,translate,1.0,,,,,1,147,0.000104832,,,
E1-inscope,train-11,train,i would like to know the proper way to greet an adult in portuguese,translate,greeting,0,0.67,0.67,greeting,0.67,translate,0.32,definition,0.01,3,176,0.00010487400000000001,,,
E1-inscope,train-12,train,what words would i use to tell someone i am lost if i were japanese,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,98,0.000104832,,,
E1-inscope,train-13,train,how would i say thank you if i were russian,translate,translate,1,0.94,0.94,translate,0.94,thank_you,0.06,,,2,158,0.000104622,,,
E1-inscope,train-14,train,can you tell me how i would normally say thank you as a french person,translate,translate,1,0.84,0.83,translate,0.84,thank_you,0.16,,,2,100,0.000104832,,,
E1-inscope,train-15,train,i would like to know how to say hello in french,translate,translate,1,0.99,0.99,translate,0.99,greeting,0.01,,,2,172,0.000104664,,,
E1-inscope,train-16,train,if i were english how would i say subway,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,304,0.00010458000000000002,,,
E1-inscope,train-17,train,i would i say subway if i were english,translate,translate,1,0.83,0.82,translate,0.83,change_language,0.03,fun_fact,0.03,8,162,0.00010458000000000002,,,
E1-inscope,train-18,train,how do you say hi in french,translate,translate,1,0.97,0.97,translate,0.97,greeting,0.03,,,2,131,0.00010449600000000001,,,
E1-inscope,train-19,train,in england how do they say subway,translate,translate,1,0.93,0.92,translate,0.93,definition,0.07,,,2,177,0.00010453800000000001,,,
E1-inscope,train-20,train,translate hello in french,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,158,0.00010437,,,
E1-inscope,train-21,train,how is hello said in french,translate,translate,1,0.99,0.99,translate,0.99,greeting,0.01,,,2,125,0.00010445400000000001,,,
E1-inscope,train-22,train,what do you call a subway if you were english,translate,translate,1,0.697,0.68,translate,0.697,tell_joke,0.1616,definition,0.101,4,103,0.000104622,,,
E1-inscope,train-23,train,how would i say if i were english subway,translate,translate,1,0.7778,0.76,translate,0.7778,change_accent,0.0909,change_language,0.0707,7,233,0.00010458000000000002,,,
E1-inscope,train-24,train,how should i say hello in french,translate,translate,1,0.82,0.81,translate,0.82,greeting,0.18,,,2,119,0.00010449600000000001,,,
E1-inscope,train-25,train,how could i say twin in chinese,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,232,0.00010449600000000001,,,
E1-inscope,train-26,train,how can i say not now in spanish,translate,translate,1,0.98,0.98,translate,0.98,no,0.02,,,2,166,0.00010453800000000001,,,
E1-inscope,train-27,train,what do spanish people say for the word cow,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,124,0.00010458000000000002,,,
E1-inscope,train-28,train,translate hello to english,translate,translate,1,1.0,1.0,translate,1.0,,,,,1,120,0.00010437,,,
E1-inscope,train-29,train,how do you say goodbye in spanish,translate,translate,1,0.95,0.95,translate,0.95,goodbye,0.05,,,2,225,0.00010449600000000001,,,
